bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_sotao,sqft_porao,ano_built,ano_renovated,area construida,area_total, price ,preco_por_pe,caro
2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,1060,5095,189000,178,FALSE
3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,1030,4705,233000,226,FALSE
3,1,1300,8316,1,0,0,4,6,1300,0,1954,0,1260,8316,225000,179,FALSE
4,2,2010,7312,1,0,0,4,7,2010,0,1976,0,2010,7650,250000,124,TRUE
3,2.5,1805,3402,2,0,0,3,7,1805,0,2009,0,2095,3402,266000,127,TRUE
3,1.5,1210,10588,1,0,0,4,7,1210,0,1958,0,1408,10588,200000,142,TRUE
3,1,1200,8316,1,0,0,4,6,1200,0,1953,0,1200,8316,214000,178,FALSE
3,1.75,1420,8738,1,0,0,4,7,1420,0,1966,0,1660,8738,234000,141,TRUE
2,1,1600,8961,1,0,0,4,7,1390,210,1949,0,1502,6798,218500,145,TRUE
3,1,990,7420,1,0,0,5,6,990,0,1960,0,1010,7420,208000,206,FALSE
3,1.75,1320,10454,1,0,0,4,7,1320,0,1968,0,1680,10183,249950,149,TRUE
4,1.5,1600,9289,1,0,0,4,7,1600,0,1959,0,1540,9918,224000,145,TRUE
4,2,2460,5921,1,0,0,4,7,1230,1230,1948,0,1260,6648,247500,196,FALSE
3,1,1010,8581,1,0,0,4,6,1010,0,1920,0,1060,10354,180000,170,FALSE
4,2,1440,6702,1,0,0,4,7,1440,0,1966,0,1030,6702,176250,171,FALSE
6,2.75,3240,5750,1,0,0,4,6,2160,1080,1950,0,1230,5750,370000,301,FALSE
3,1.75,1770,8868,1,0,0,4,7,1770,0,1959,0,1630,9706,250000,153,TRUE
3,1,1020,6120,1,0,0,4,7,1020,0,1967,0,1370,8000,208000,152,TRUE
3,1.75,1070,8100,1,0,0,4,6,1070,0,1957,0,1260,8100,183000,145,TRUE
2,2,1680,5756,2,0,0,4,7,1680,0,1910,0,1340,5447,210000,157,TRUE
6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,2060,7316,280000,136,TRUE
6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,2060,7316,300000,146,TRUE
2,1,1020,5130,1,0,0,4,6,1020,0,1948,0,1200,6497,175000,146,TRUE
3,1,1220,6000,1,0,0,5,7,1220,0,1961,0,1420,13137,161500,114,TRUE
3,2,1470,20000,1,0,0,4,7,1470,0,1968,0,1390,30056,254600,183,FALSE
5,1.75,2140,12058,1,0,0,4,8,2140,0,1951,0,1640,10125,250750,153,TRUE
3,1.5,1070,6601,1,0,0,3,6,1070,0,1985,0,1030,6614,219950,214,FALSE
3,1.75,2190,6000,1.5,0,0,4,7,2190,0,1920,0,1610,6000,255000,158,TRUE
3,2,1850,8250,1,0,0,4,7,1150,700,1952,0,1580,7153,257200,163,TRUE
3,2,1200,6074,1,0,0,3,7,1200,0,1968,0,1430,6338,222000,155,TRUE
3,1,970,9360,1,0,0,4,5,970,0,1942,0,1050,11348,206000,196,FALSE
3,1,1220,6000,1,0,0,4,7,1220,0,1968,0,1420,6000,213500,150,TRUE
3,1,1260,7265,1,0,0,4,7,1260,0,1954,0,940,7200,188200,200,FALSE
1,0.75,760,5746,1,0,0,4,5,760,0,1915,0,970,6696,95000,98,TRUE
4,2.25,2460,11250,1,0,0,4,8,2460,0,1959,0,1630,10216,276000,169,FALSE
3,1,920,7276,1,0,0,4,6,920,0,1961,0,1120,7276,125000,112,TRUE
4,1.5,2010,7561,1.5,0,0,4,7,1890,120,1921,0,1420,6564,245000,173,FALSE
5,2.5,2630,8470,1.5,0,0,4,8,2630,0,1968,0,1780,8575,270000,152,TRUE
3,1.75,1600,7500,1,0,0,3,7,1600,0,1998,0,1620,7461,285000,176,FALSE
3,1.5,1280,4366,2,0,0,4,6,1280,0,1985,0,1280,4366,183000,143,TRUE
2,1,920,5889,1,0,0,4,6,920,0,1950,0,1210,6180,156000,129,TRUE
4,1.75,1650,6900,1,0,0,3,7,910,740,1978,1993,1540,7645,238000,155,TRUE
3,2,1490,7929,1,0,0,3,7,1490,0,1989,0,1650,7929,245000,148,TRUE
3,1,1180,8775,1,0,0,3,7,1180,0,1966,0,1300,8100,190000,146,TRUE
3,1.75,2090,12026,1,0,0,4,7,2090,0,1948,0,1700,9496,248500,146,TRUE
3,1.75,1070,6110,1,0,0,4,7,1070,0,1968,0,1350,6148,195000,144,TRUE
3,1.75,1550,6225,1,0,0,4,7,1550,0,1949,0,1760,9496,199950,114,TRUE
3,1.5,1580,10517,1,0,0,4,6,1580,0,1957,0,1400,10658,233500,167,FALSE
3,1.5,1660,8738,1,0,0,4,7,1080,580,1959,0,1500,8466,235000,157,TRUE
2,1,720,4120,1,0,0,5,5,720,0,1915,0,940,6180,150000,160,TRUE
3,1.5,1280,5065,2,0,0,4,6,1280,0,1983,0,1070,4491,215000,201,FALSE
4,2,2060,6400,1,0,0,3,7,1170,890,1977,0,1890,8736,257500,136,TRUE
2,1,1060,6000,1,0,0,4,5,1060,0,1908,0,940,6000,111300,118,TRUE
1,1,690,6825,1,0,0,4,5,690,0,1917,0,1330,5381,142500,107,TRUE
4,2.5,1594,7665,1,0,0,5,7,1088,506,1975,0,1536,6000,269000,175,FALSE
4,1.5,1520,8800,1,0,0,4,7,1520,0,1960,0,1370,8800,230000,168,FALSE
4,1.75,1500,12560,1,0,0,4,7,1000,500,1977,0,1700,9020,239000,141,TRUE
4,1,1600,10183,1,0,0,4,6,1600,0,1966,0,1410,10416,154950,110,TRUE
3,1,1090,17630,1,0,0,4,7,1090,0,1962,0,1300,12000,197000,152,TRUE
2,1.75,1590,11276,1,0,0,4,7,1590,0,1972,0,1750,10687,225500,129,TRUE
4,2.75,2420,8700,1.5,0,0,4,7,2420,0,1914,0,1070,4804,279950,262,FALSE
4,2.25,1980,9714,1,0,0,3,7,1170,810,1977,0,1610,9272,286285,178,FALSE
2,1,810,6697,1,0,0,4,6,810,0,1923,0,1140,6695,194900,171,FALSE
3,1.5,1280,4452,2,0,0,3,6,1280,0,1985,0,1070,4366,187000,175,FALSE
4,2.5,2260,9686,1,0,0,4,7,1520,740,1965,0,1750,9916,224950,129,TRUE
2,1,780,6685,1,0,0,4,5,780,0,1948,0,880,6695,135000,153,TRUE
3,1.5,1200,7800,1,0,0,4,7,1200,0,1958,0,1390,8415,195000,140,TRUE
2,1.5,1440,11954,1,0,0,4,8,1440,0,1978,0,1460,9730,330000,226,FALSE
5,2,2250,5472,1.5,0,0,5,7,1750,500,1930,0,1540,5472,319450,207,FALSE
3,2.5,2095,3438,2,0,0,3,7,2095,0,2008,0,1805,3402,292500,162,TRUE
3,1,990,9599,1,0,0,4,6,990,0,1959,0,1216,10364,245000,201,FALSE
2,1.75,1280,6774,1,0,0,3,7,1280,0,1991,0,1450,7810,193000,133,TRUE
3,2,1340,4320,1,0,0,3,5,920,420,1912,1993,980,6480,186000,190,FALSE
6,4.5,3560,14010,2,0,0,3,7,3560,0,1989,0,1710,11116,389000,227,FALSE
3,2.25,1560,9706,1,0,0,4,7,1560,0,1963,0,1510,9706,288000,191,FALSE
3,1.5,1480,10588,1,0,0,3,7,1480,0,1957,0,1370,10588,224000,164,TRUE
3,1.75,1330,6301,1,0,0,3,7,1330,0,1998,0,1330,6144,236000,177,FALSE
3,1,1150,4800,1.5,0,0,4,6,1150,0,1938,0,1310,9510,200000,153,TRUE
4,3,2300,7609,2,0,0,4,7,2300,0,1976,0,940,5937,224000,238,FALSE
4,2.25,2400,17842,2,0,0,4,7,2400,0,1973,0,1610,12100,275000,171,FALSE
4,2.25,2050,12581,2,0,0,4,7,2050,0,1978,0,1620,7400,305000,188,FALSE
3,1,1060,8000,1,0,0,4,6,1060,0,1927,0,1060,4697,160000,151,TRUE
3,2.25,1230,7420,1.5,0,0,5,7,1230,0,1913,0,1260,7556,200000,159,TRUE
1,1,1080,3230,1,0,0,3,6,1080,0,1963,0,1210,5760,112000,93,TRUE
3,1,1864,6978,1,0,0,4,7,1864,0,1958,0,990,8000,235000,237,FALSE
4,1.75,1420,10300,2,0,0,3,7,1420,0,1950,2001,1420,10300,225000,158,TRUE
4,2.5,1960,11600,1,0,0,5,6,980,980,1931,0,1160,7685,215000,185,FALSE
3,1,920,7314,1,0,0,3,6,920,0,1960,0,1010,7420,125000,124,TRUE
3,1,920,7314,1,0,0,3,6,920,0,1960,0,1010,7420,208000,206,FALSE
4,2,2170,5404,1.5,0,0,5,6,1470,700,1920,0,1030,5477,250000,243,FALSE
3,1,1010,8800,1,0,0,4,7,1010,0,1968,0,1550,7700,205000,132,TRUE
3,1.5,1280,3640,2,0,0,3,6,1280,0,1983,0,1150,4105,184500,160,TRUE
2,1,1280,7861,1,0,0,4,6,1280,0,1913,0,1020,6480,195000,191,FALSE
3,1,990,7520,1,0,0,4,7,990,0,1958,0,990,7440,222000,224,FALSE
3,1,990,10800,1,0,0,4,6,990,0,1959,0,1060,10364,207000,195,FALSE
3,1.75,1200,9266,1,0,0,4,7,1200,0,1960,0,1200,9266,235000,196,FALSE
4,2.25,2115,6234,2,0,0,3,7,2115,0,1998,0,2440,6366,272000,111,TRUE
3,1.75,1760,12823,1,0,0,4,7,1460,300,1956,0,1450,10800,269950,186,FALSE
2,2,1700,3171,1,0,0,5,5,850,850,1927,0,1380,5906,189000,137,TRUE
5,1.75,1970,8925,1,0,0,5,7,1170,800,1977,0,1910,8025,255000,134,TRUE
3,1.5,1280,4031,2,0,0,4,6,1280,0,1985,0,1150,4500,185000,161,TRUE
3,2.25,1640,4420,2,0,0,4,7,1640,0,1918,1983,1230,6632,250000,203,FALSE
4,2.5,1788,10183,2,0,0,4,7,1788,0,1990,0,1700,6600,294400,173,FALSE
3,1,1090,10114,1,0,0,4,7,1090,0,1955,0,1380,7800,140000,101,TRUE
4,1.5,2120,8554,1,0,0,4,7,1170,950,1977,0,1790,8554,249500,139,TRUE
3,1,880,7004,1,0,0,3,5,880,0,1950,0,880,7828,128750,146,TRUE
3,1,1200,8316,1,0,0,4,6,1200,0,1953,0,1250,8316,190000,152,TRUE
4,2.75,2910,7712,1,0,0,3,7,1600,1310,1998,0,2220,6649,292000,132,TRUE
3,2.5,2070,8400,2,0,0,4,8,2070,0,1990,0,2070,9239,250000,121,TRUE
5,1.75,2030,10200,1,0,0,4,7,2030,0,1958,0,1760,11550,246000,140,TRUE
2,1,1250,5208,1,0,0,3,7,1050,200,1951,0,1030,5354,150000,146,TRUE
3,1.5,1910,10583,1.5,0,0,4,7,1910,0,1922,1967,1770,9068,247200,140,TRUE
4,1.75,1530,18400,1.5,0,0,4,6,1530,0,1938,0,1620,13535,220000,136,TRUE
4,3,2390,7309,2,0,0,4,7,2390,0,1944,1981,930,7308,269950,290,FALSE
2,1,1070,4200,1,0,0,4,6,1070,0,1983,0,1150,4200,160000,139,TRUE
3,2.25,1640,6044,2,0,0,3,7,1640,0,1996,0,1600,7418,275000,172,FALSE
3,1,900,8100,1,0,0,4,6,900,0,1959,0,1000,7830,179500,180,FALSE
3,1.75,1160,6134,1,0,0,3,7,1160,0,1998,0,1330,6301,250000,188,FALSE
3,1.5,1280,5547,2,0,0,4,6,1280,0,1985,0,1150,4500,167000,145,TRUE
2,1,1000,5026,1,0,0,5,5,760,240,1915,0,990,5026,159995,162,TRUE
3,1.75,1590,7810,1,0,0,4,7,1590,0,1959,0,1470,7810,255000,173,FALSE
4,2.75,1990,7252,1,0,0,3,7,1270,720,1999,0,2100,7535,270000,129,TRUE
3,2.5,1720,8550,1,0,0,4,7,1720,0,1968,0,1460,8550,270000,185,FALSE
5,2.75,2790,4807,1.5,0,0,4,7,2140,650,1949,0,1056,4807,288000,273,FALSE
3,1.5,1180,7300,1,0,0,4,7,1180,0,1968,0,2030,8424,209950,103,TRUE
3,2,1110,8724,1,0,0,4,7,1110,0,1990,0,1390,7750,235000,169,FALSE
3,1.75,1600,7711,1,0,0,3,7,1600,0,1999,0,2100,7711,268000,128,TRUE
3,1.75,1340,7473,1,0,0,4,7,1340,0,1973,0,1510,8240,223000,148,TRUE
3,1,1300,7420,1,0,0,4,6,1300,0,1960,0,1250,7420,208000,166,FALSE
4,1,1230,8636,1.5,0,0,4,6,1230,0,1954,0,1168,8316,195500,167,FALSE
5,2.75,2920,5250,1.5,0,0,5,7,1800,1120,1911,0,1220,5250,265000,217,FALSE
4,2.75,2414,7693,2,0,0,3,8,2414,0,2006,0,1500,7177,292000,195,FALSE
3,2.5,1890,6088,2,0,0,3,7,1890,0,1996,0,1700,6600,265000,156,TRUE
3,2.25,2080,26574,1,0,2,3,7,1380,700,1993,0,1770,8140,270000,153,TRUE
3,2,1670,7056,1,0,0,4,7,1670,0,1958,0,1330,8415,180000,135,TRUE
4,1,1320,11212,1,0,0,5,6,1320,0,1914,0,1060,6766,250000,236,FALSE
4,2,1960,16015,1,0,0,3,7,1960,0,1980,0,1960,16015,367500,188,FALSE
3,1,960,7314,1,0,0,5,6,960,0,1960,0,990,7314,205000,207,FALSE
3,2,1540,8316,1,0,0,5,6,1540,0,1954,0,1250,8316,202500,162,TRUE
3,2.5,1740,3721,2,0,0,3,8,1740,0,2009,0,2030,3794,257000,127,TRUE
3,1,900,7576,1,0,0,4,6,900,0,1959,0,1220,7452,201000,165,FALSE
3,1,1510,8760,1,0,0,4,6,1510,0,1946,0,1040,7828,190000,183,FALSE
3,1,1380,7282,1.5,0,0,5,6,1380,0,1915,0,860,4826,189000,220,FALSE
3,2.25,2120,13090,1,0,0,3,8,2120,0,1997,0,1400,12039,340000,243,FALSE
3,1,940,7200,1,0,0,4,7,940,0,1954,0,1090,7800,163500,150,TRUE
6,5.25,2860,5682,2,0,0,3,7,2860,0,1978,0,1390,5956,300000,216,FALSE
3,1,1300,10125,1,0,0,4,6,1300,0,1959,0,1300,10125,137000,105,TRUE
4,3,2210,4191,2,0,0,3,7,2210,0,2004,0,890,4288,315000,354,FALSE
4,1.75,1900,10588,1,0,0,5,6,1900,0,1958,0,1530,10587,265000,173,FALSE
3,1,1080,10639,1.5,0,0,3,7,1080,0,1953,0,1470,10600,219000,149,TRUE
4,1.75,1920,9350,1,0,0,4,7,1000,920,1977,0,1910,8400,235000,123,TRUE
3,1,1090,6710,1.5,0,0,5,5,1090,0,1912,0,1170,6708,219500,188,FALSE
3,2.5,1340,4200,2,0,0,3,7,1340,0,2002,0,990,4520,217000,219,FALSE
3,1,1320,7000,1,0,0,4,7,1320,0,1967,0,1260,7455,206000,163,TRUE
4,3,1680,6003,1,0,0,3,7,1150,530,1997,0,1820,6207,230000,126,TRUE
3,1.75,1930,7267,1,0,0,4,7,1330,600,1977,0,1600,7698,279950,175,FALSE
4,2.25,2550,9736,1,0,0,4,8,2550,0,1967,0,1770,9686,315000,178,FALSE
4,1.5,1920,11595,1,0,0,4,7,1920,0,1962,0,1400,10550,235000,168,FALSE
4,1.75,1700,6000,1,0,0,3,7,1700,0,1967,0,1280,6000,148900,116,TRUE
3,1,1230,6000,1,0,0,4,7,1230,0,1967,0,1240,6000,229500,185,FALSE
2,1,1000,4179,1,0,0,5,5,1000,0,1914,0,1010,6327,189900,188,FALSE
3,2,1680,7000,1.5,0,0,4,7,1680,0,1968,0,1540,7480,219200,142,TRUE
4,2,1700,6025,1,0,0,3,6,1700,0,1978,0,1320,5956,206000,156,TRUE
3,1.75,1310,7314,1,0,0,5,6,1310,0,1960,0,1010,7314,237950,236,FALSE
3,2.25,1620,6000,1,0,0,3,7,1280,340,1998,0,1710,6318,247500,145,TRUE
3,1.75,1750,11461,2,0,0,4,7,1750,0,1976,0,2140,11276,232603,109,TRUE
3,2,1640,5280,1.5,0,0,5,6,1640,0,1910,0,1160,7875,234000,202,FALSE
3,1,1320,7155,1,0,0,4,6,1320,0,1961,0,1070,8100,185000,173,FALSE
6,2,2220,8797,1,0,0,3,7,2220,0,1977,0,1170,5123,260000,222,FALSE
4,1.5,1570,6717,1,0,0,5,6,1570,0,1911,0,1140,6716,229950,202,FALSE
3,1,960,10761,1,0,0,4,6,960,0,1962,0,960,10761,193000,201,FALSE
4,2.75,2475,4000,2,0,0,3,7,2475,0,2014,0,2475,4000,329900,133,TRUE
4,2.5,2730,4962,2,0,0,3,8,2730,0,2006,0,2150,3802,319500,149,TRUE
4,2.75,2475,4276,2,0,0,3,7,2475,0,2014,0,2475,4000,319900,129,TRUE
3,2.5,1584,3200,2,0,0,3,7,1584,0,2011,0,1584,2800,263000,166,FALSE
4,3,1984,4460,2,0,0,3,7,1984,0,2012,0,2095,3402,292000,139,TRUE
3,2.5,2437,5136,2,0,0,3,7,2437,0,2011,0,2437,4614,285000,117,TRUE
3,2.25,1489,2800,2,0,0,3,7,1489,0,2011,0,1584,3200,260000,164,FALSE
3,2.25,1481,2820,2,0,0,3,7,1481,0,2012,0,1481,3028,240000,162,TRUE
3,2.5,1852,4000,2,0,0,3,7,1852,0,2014,0,2166,4000,298000,138,TRUE
3,2.5,2099,4275,2,0,0,3,7,2099,0,2010,0,2099,4275,289950,138,TRUE
6,3,2744,9926,2,0,0,3,7,2744,0,2006,0,2470,9926,300000,121,TRUE
3,2.25,1584,2800,2,0,0,3,7,1584,0,2012,0,1584,2800,267000,169,FALSE
4,2.75,2475,4000,2,0,0,3,7,2475,0,2014,0,2166,4000,319900,148,TRUE
3,2.25,1489,2800,2,0,0,3,7,1489,0,2012,0,1584,2800,265000,167,FALSE
3,2.5,1550,3402,2,0,0,3,7,1550,0,2009,0,2095,3402,273500,131,TRUE
4,2.5,2230,4952,2,0,0,3,8,2230,0,2011,0,2030,3721,297000,146,TRUE
3,2.5,1489,3266,2,0,0,3,7,1489,0,2014,0,1537,3273,255900,166,FALSE
3,2.25,1584,2800,2,0,0,3,7,1584,0,2012,0,1584,2800,261000,165,FALSE
4,2.5,1710,3500,2,0,0,3,7,1710,0,2014,0,1710,3500,282900,165,FALSE
4,2.5,2150,3721,2,0,0,3,8,2150,0,2007,0,2150,3721,275000,128,TRUE
3,2.5,1852,4000,2,0,0,3,7,1852,0,2014,0,2475,4000,298900,121,TRUE
4,3,1984,4419,2,0,0,3,7,1984,0,2010,0,2440,4418,300000,123,TRUE
6,5,2732,7655,2,0,0,3,7,2732,0,2009,0,3078,69993,343000,111,TRUE
4,2.5,2150,3721,2,0,0,3,8,2150,0,2006,0,2150,3721,260000,121,TRUE
2,2.25,1061,2884,2,0,0,3,7,1061,0,2013,0,1481,2887,223990,151,TRUE
3,2.25,1481,2820,2,0,0,3,7,1481,0,2012,0,1481,2889,250000,169,FALSE
3,2.5,1550,3569,2,0,0,3,7,1550,0,2011,0,2095,3402,259000,124,TRUE
4,2.75,2475,4000,2,0,0,3,7,2475,0,2014,0,2475,4000,335900,136,TRUE
